Energy (keV),Field (T),Temperature (K),Rate (1/s)
6.6788888889e+00,2.2500000000e-02,1.6666666667e+00,3.7008282344e+00
6.6788888889e+00,2.2500000000e-02,3.3333333333e+00,4.7874396854e+00
6.6788888889e+00,2.2500000000e-02,5.0000000000e+00,5.8740511365e+00
6.6788888889e+00,2.2500000000e-02,6.6666666667e+00,6.9606625875e+00
6.6788888889e+00,2.2500000000e-02,8.3333333333e+00,8.0472740386e+00
6.6788888889e+00,2.2500000000e-02,1.0000000000e+01,9.1338854896e+00
6.6788888889e+00,2.2500000000e-02,1.1666666667e+01,1.0220496941e+01
6.6788888889e+00,2.2500000000e-02,1.3333333333e+01,1.1307108392e+01
6.6788888889e+00,2.2500000000e-02,1.5000000000e+01,1.2393719843e+01
6.6788888889e+00,2.5000000000e-02,0.0000000000e+00,2.6142167834e+00
6.6788888889e+00,2.5000000000e-02,1.6666666667e+00,3.7008282344e+00
6.6788888889e+00,2.5000000000e-02,3.3333333333e+00,4.7874396854e+00
6.6788888889e+00,2.5000000000e-02,5.0000000000e+00,5.8740511365e+00
6.6788888889e+00,2.5000000000e-02,6.6666666667e+00,6.9606625875e+00
6.6788888889e+00,2.5000000000e-02,8.3333333333e+00,8.0472740386e+00
6.6788888889e+00,2.5000000000e-02,1.0000000000e+01,9.1338854896e+00
6.6788888889e+00,2.5000000000e-02,1.1666666667e+01,1.0220496941e+01
6.6788888889e+00,2.5000000000e-02,1.3333333333e+01,1.1307108392e+01
6.6788888889e+00,2.5000000000e-02,1.5000000000e+01,1.2393719843e+01
1.0003333333e+01,2.5000000000e-03,0.0000000000e+00,1.3803598018e+00
1.0003333333e+01,2.5000000000e-03,1.6666666667e+00,2.5440873142e+00
1.0003333333e+01,2.5000000000e-03,3.3333333333e+00,3.7078148266e+00
1.0003333333e+01,2.5000000000e-03,5.0000000000e+00,4.8715423390e+00
1.0003333333e+01,2.5000000000e-03,6.6666666667e+00,6.0352698514e+00
1.0003333333e+01,2.5000000000e-03,8.3333333333e+00,7.1989973637e+00
1.0003333333e+01,2.5000000000e-03,1.0000000000e+01,8.3627248760e+00
1.0003333333e+01,2.5000000000e-03,1.1666666667e+01,9.5264523884e+00
1.0003333333e+01,2.5000000000e-03,1.3333333333e+01,1.0690179901e+01
1.0003333333e+01,2.5000000000e-03,1.5000000000e+01,1.1853907413e+01
1.0003333333e+01,5.0000000000e-03,0.0000000000e+00,1.3803598016e+00
1.0003333333e+01,5.0000000000e-03,1.6666666667e+00,2.5440873140e+00
1.0003333333e+01,5.0000000000e-03,3.3333333333e+00,3.7078148264e+00
1.0003333333e+01,5.0000000000e-03,5.0000000000e+00,4.8715423388e+00
1.0003333333e+01,5.0000000000e-03,6.6666666667e+00,6.0352698512e+00
1.0003333333e+01,5.0000000000e-03,8.3333333333e+00,7.1989973636e+00
1.0003333333e+01,5.0000000000e-03,1.0000000000e+01,8.3627248760e+00
1.0003333333e+01,5.0000000000e-03,1.1666666667e+01,9.5264523884e+00
1.0003333333e+01,5.0000000000e-03,1.3333333333e+01,1.0690179901e+01
1.0003333333e+01,5.0000000000e-03,1.5000000000e+01,1.1853907413e+01
1.0003333333e+01,7.5000000000e-03,0.0000000000e+00,1.3803598015e+00
1.0003333333e+01,7.5000000000e-03,1.6666666667e+00,2.5440873139e+00
1.0003333333e+01,7.5000000000e-03,3.3333333333e+00,3.7078148263e+00
1.0003333333e+01,7.5000000000e-03,5.0000000000e+00,4.8715423388e+00
1.0003333333e+01,7.5000000000e-03,6.6666666667e+00,6.0352698512e+00
1.0003333333e+01,7.5000000000e-03,8.3333333333e+00,7.1989973635e+00
1.0003333333e+01,7.5000000000e-03,1.0000000000e+01,8.3627248759e+00
1.0003333333e+01,7.5000000000e-03,1.1666666667e+01,9.5264523884e+00
1.0003333333e+01,7.5000000000e-03,1.3333333333e+01,1.0690179901e+01
1.0003333333e+01,7.5000000000e-03,1.5000000000e+01,1.1853907413e+01
1.0003333333e+01,1.0000000000e-02,0.0000000000e+00,1.3803598015e+00
1.0003333333e+01,1.0000000000e-02,1.6666666667e+00,2.5440873139e+00
1.0003333333e+01,1.0000000000e-02,3.3333333333e+00,3.7078148263e+00
1.0003333333e+01,1.0000000000e-02,5.0000000000e+00,4.8715423387e+00
1.0003333333e+01,1.0000000000e-02,6.6666666667e+00,6.0352698511e+00
1.0003333333e+01,1.0000000000e-02,8.3333333333e+00,7.1989973635e+00
1.0003333333e+01,1.0000000000e-02,1.0000000000e+01,8.3627248759e+00
1.0003333333e+01,1.0000000000e-02,1.1666666667e+01,9.5264523883e+00
1.0003333333e+01,1.0000000000e-02,1.3333333333e+01,1.0690179901e+01
1.0003333333e+01,1.0000000000e-02,1.5000000000e+01,1.1853907413e+01
1.0003333333e+01,1.2500000000e-02,0.0000000000e+00,1.3803598015e+00
1.0003333333e+01,1.2500000000e-02,1.6666666667e+00,2.5440873139e+00
1.0003333333e+01,1.2500000000e-02,3.3333333333e+00,3.7078148263e+00
1.0003333333e+01,1.2500000000e-02,5.0000000000e+00,4.8715423387e+00
1.0003333333e+01,1.2500000000e-02,6.6666666667e+00,6.0352698511e+00
